iter	Passed	Remaining
446	1131	1400
447	1133	1397
448	1136	1394
449	1138	1391
450	1140	1387
451	1142	1384
452	1144	1381
453	1146	1378
454	1148	1375
455	1150	1372
456	1152	1369
457	1154	1365
458	1156	1362
459	1158	1359
460	1160	1356
461	1162	1353
462	1164	1350
463	1166	1347
464	1168	1344
465	1170	1340
466	1172	1337
467	1174	1334
468	1176	1331
469	1178	1328
470	1180	1325
471	1182	1322
472	1184	1319
473	1186	1316
474	1188	1313
475	1190	1310
476	1192	1307
477	1194	1304
478	1196	1301
479	1198	1298
480	1200	1295
481	1202	1291
482	1203	1288
483	1205	1285
484	1207	1282
485	1209	1279
486	1211	1276
487	1213	1273
488	1215	1270
489	1217	1267
490	1219	1264
491	1221	1261
492	1223	1258
493	1225	1255
494	1227	1252
495	1229	1249
496	1231	1246
497	1233	1243
498	1235	1240
499	1237	1237
500	1239	1234
501	1241	1231
502	1243	1228
503	1245	1225
504	1247	1222
505	1249	1219
506	1251	1216
507	1253	1213
508	1255	1210
509	1257	1207
510	1258	1204
511	1261	1201
512	1263	1199
513	1265	1196
514	1267	1193
515	1269	1190
516	1271	1187
517	1273	1184
518	1275	1181
519	1277	1178
520	1279	1176
521	1281	1173
522	1283	1170
523	1284	1167
524	1287	1164
525	1289	1161
526	1291	1159
527	1293	1156
528	1295	1153
529	1297	1150
530	1299	1148
531	1302	1145
532	1304	1142
533	1306	1140
534	1308	1137
535	1311	1134
536	1313	1132
537	1315	1129
538	1317	1126
539	1319	1123
540	1321	1121
541	1323	1118
542	1325	1115
543	1327	1113
544	1330	1110
545	1332	1107
546	1334	1105
547	1336	1102
548	1338	1099
549	1340	1097
550	1342	1094
551	1344	1091
552	1347	1088
553	1349	1086
554	1351	1083
555	1353	1081
556	1355	1078
557	1357	1075
558	1360	1072
559	1362	1070
560	1364	1067
561	1366	1064
562	1368	1062
563	1370	1059
564	1372	1056
565	1374	1053
566	1376	1051
567	1378	1048
568	1380	1045
569	1382	1043
570	1384	1040
571	1387	1038
572	1389	1035
573	1391	1032
574	1393	1030
575	1395	1027
576	1397	1024
577	1399	1022
578	1401	1019
579	1403	1016
580	1405	1013
581	1407	1011
582	1409	1008
583	1411	1005
584	1413	1003
585	1415	1000
586	1417	997
587	1419	994
588	1421	992
589	1423	989
590	1426	986
591	1428	984
592	1430	981
593	1432	978
594	1434	976
595	1436	973
596	1438	970
597	1440	968
598	1442	965
599	1444	962
600	1446	959
601	1447	957
602	1449	954
603	1451	951
604	1453	949
605	1455	946
606	1458	943
607	1459	941
608	1461	938
609	1463	935
610	1465	933
611	1467	930
